tcr_id,v_gene,freq
Brusko_10169_TCRB.tsv,TCRBV20,7.660221563736881
Brusko_10169_TCRB.tsv,TCRBV19-01,5.890838289738288
Brusko_10169_TCRB.tsv,TCRBV05-01,5.298912077994983
Brusko_10169_TCRB.tsv,TCRBV06-05,4.753174586255658
Brusko_10169_TCRB.tsv,TCRBV02-01,4.182566245283422
Brusko_10169_TCRB.tsv,TCRBV07-09,4.019839831730939
Brusko_10169_TCRB.tsv,TCRBV27-01,3.856402822
Brusko_10169_TCRB.tsv,TCRBV09-01,3.7334697677062683
Brusko_10169_TCRB.tsv,TCRBV03-01/03-02,3.5977459904638054
Brusko_10169_TCRB.tsv,TCRBV30-01,3.5366347609200792
Brusko_10169_TCRB.tsv,TCRBV12,3.3277196273636194
Brusko_10169_TCRB.tsv,TCRBV07-02,3.060535647032908
Brusko_10169_TCRB.tsv,TCRBV04-01,3.057693264263432
Brusko_10169_TCRB.tsv,TCRBV18-01,2.642705379919987
Brusko_10169_TCRB.tsv,TCRBV06,2.5346948346799123
Brusko_10169_TCRB.tsv,TCRBV05-04,2.370547229742693
Brusko_10169_TCRB.tsv,TCRBV29-01,2.1893453281886206
Brusko_10169_TCRB.tsv,TCRBV05-06,2.1310764814143695
Brusko_10169_TCRB.tsv,TCRBV11,2.114022184797516
Brusko_10169_TCRB.tsv,TCRBV10-03,1.787148166307816
Brusko_10169_TCRB.tsv,TCRBV07-08,1.576101245674249
Brusko_10169_TCRB.tsv,TCRBV13-01,1.5348866955168519
Brusko_10169_TCRB.tsv,TCRBV06-02/06-03,1.5220959730542114
Brusko_10169_TCRB.tsv,TCRBV12-03/12-04,1.516411208
Brusko_10169_TCRB.tsv,TCRBV04-02,1.5071734635144642
Brusko_10169_TCRB.tsv,TCRBV15-01,1.4943827410518238
Brusko_10169_TCRB.tsv,TCRBV06-01,1.4645377219723295
Brusko_10169_TCRB.tsv,TCRBV07-06,1.3565271767322546
Brusko_10169_TCRB.tsv,TCRBV06-06,1.2485166314921798
Brusko_10169_TCRB.tsv,TCRBV04-03,1.200196124411094
Brusko_10169_TCRB.tsv,TCRBV20-01,1.1191882154810378
Brusko_10169_TCRB.tsv,TCRBV14-01,1.0332061367043992
Brusko_10169_TCRB.tsv,TCRBV28-01,1.012598861625701
Brusko_10169_TCRB.tsv,TCRBV07-03,1.0062035003943806
Brusko_10169_TCRB.tsv,TCRBV25-01,0.879717467
Brusko_10169_TCRB.tsv,TCRBV06-04,0.8782962757679763
Brusko_10169_TCRB.tsv,TCRBV05-05,0.7859188357600176
Brusko_10169_TCRB.tsv,TCRBV12-05,0.7489678597568341
Brusko_10169_TCRB.tsv,TCRBV11-03,0.7368877329865626
Brusko_10169_TCRB.tsv,TCRBV21-01,0.7283605846781357
Brusko_10169_TCRB.tsv,TCRBV05-08,0.6978049699062725
Brusko_10169_TCRB.tsv,TCRBV24-01,0.6509056542099242
Brusko_10169_TCRB.tsv,TCRBV10-02,0.5180242597369376
Brusko_10169_TCRB.tsv,TCRBV10-01,0.5151818769674619
Brusko_10169_TCRB.tsv,TCRBV07,0.3886958437257953
Brusko_10169_TCRB.tsv,TCRBV11-01,0.31692567879653516
Brusko_10169_TCRB.tsv,TCRBV06-02,0.31621508310416624
Brusko_10169_TCRB.tsv,TCRBV11-02,0.28921244679414754
Brusko_10169_TCRB.tsv,TCRBV23-01,0.22525883448094539
Brusko_10169_TCRB.tsv,TCRBV07-07,0.2217058560191008
Brusko_10169_TCRB.tsv,unknown,0.16485820062958778
Brusko_10169_TCRB.tsv,TCRBV05-03,0.099483397
Brusko_10169_TCRB.tsv,TCRBV16-01,0.08740327
Brusko_10169_TCRB.tsv,TCRBV01-01,0.081718505
Brusko_10169_TCRB.tsv,TCRBV12-02,0.081007909
Brusko_10169_TCRB.tsv,TCRBV06-07,0.042635742
Brusko_10169_TCRB.tsv,TCRBV12-01,0.034108593
Brusko_10169_TCRB.tsv,TCRBV05,0.029134423387125425
Brusko_10169_TCRB.tsv,TCRBV06-09,0.026292040617649774
Brusko_10169_TCRB.tsv,TCRBV07-04,0.025581445
Brusko_10169_TCRB.tsv,TCRBV25,0.024160253540543037
Brusko_10169_TCRB.tsv,TCRBV07-05,0.020607275078698473
Brusko_10169_TCRB.tsv,TCRBV06-08,0.019896679
Brusko_10169_TCRB.tsv,TCRBV04,0.012790722
Brusko_10169_TCRB.tsv,TCRBV05-07,0.00994834
Brusko_10169_TCRB.tsv,TCRBV22-01,0.003552978
Brusko_10169_TCRB.tsv,TCRBV08-01,0.000710596
Brusko_10169_TCRB.tsv,TCRBVA-01,0.000710596
Brusko_10234_TCRB.tsv,TCRBV20,7.848083021043529
Brusko_10234_TCRB.tsv,TCRBV19-01,5.168996829057365
Brusko_10234_TCRB.tsv,TCRBV09-01,4.539312481983281
Brusko_10234_TCRB.tsv,TCRBV05-01,4.475353127702508
Brusko_10234_TCRB.tsv,TCRBV06-05,4.215011531
Brusko_10234_TCRB.tsv,TCRBV07-02,3.8853055635629867
Brusko_10234_TCRB.tsv,TCRBV07-09,3.8546771403862783
Brusko_10234_TCRB.tsv,TCRBV27-01,3.591633035456904
Brusko_10234_TCRB.tsv,TCRBV12,3.336696454309599
Brusko_10234_TCRB.tsv,TCRBV02-01,3.3024646872297487
Brusko_10234_TCRB.tsv,TCRBV04-03,3.236703660997406
Brusko_10234_TCRB.tsv,TCRBV30-01,2.897989334102047
Brusko_10234_TCRB.tsv,TCRBV06,2.6403502450273857
Brusko_10234_TCRB.tsv,TCRBV18-01,2.542159123666763
Brusko_10234_TCRB.tsv,TCRBV05-04,2.5214398962236957
Brusko_10234_TCRB.tsv,TCRBV03-01/03-02,2.432257134620928
