filename,risk_sum
Brusko_10168_TCRB.tsv,-0.11500302306023921
Brusko_10169_TCRB.tsv,-0.11661998797916386
Brusko_10172_TCRB.tsv,-0.13095365668237727
Brusko_10176_TCRB.tsv,-0.12600897230385488
Brusko_10178_TCRB.tsv,-0.12612743393602188
Brusko_10180_TCRB.tsv,-0.1276802042774109
Brusko_10183_TCRB.tsv,-0.1307244467298972
Brusko_10226_TCRB.tsv,-0.13164121315885977
Brusko_10230_TCRB.tsv,-0.11963001968124108
Brusko_10232_TCRB.tsv,-0.11330236252966096
Brusko_10233_TCRB.tsv,-0.13318900350951793
Brusko_10234_TCRB.tsv,-0.11411239693391306
Brusko_10237_TCRB.tsv,-0.11118003188676238
Brusko_10241_TCRB.tsv,-0.11351478668859523
Brusko_10254_TCRB.tsv,-0.12723555987217275
Brusko_10258_TCRB.tsv,-0.1351526175213674
Brusko_10266_TCRB.tsv,-0.12008875708829894
Brusko_10269_TCRB.tsv,-0.13095811672724875
Brusko_10273_TCRB.tsv,-0.12898200826342687
Brusko_10276_TCRB.tsv,-0.12530782947062236
Brusko_10279_TCRB.tsv,-0.12340472613458486
Brusko_10282_TCRB.tsv,-0.11073856055254588
Brusko_10283_TCRB.tsv,-0.10753370183072582
Brusko_10286_TCRB.tsv,-0.12857746051032676
Brusko_10328_TCRB.tsv,-0.14058386776037787
Brusko_10336_TCRB.tsv,-0.13211274527134595
Brusko_10338_TCRB.tsv,-0.12937796347031827
Brusko_10342_TCRB.tsv,-0.12356166091996117
Brusko_10343_TCRB.tsv,-0.12407108038828389
Brusko_10346_TCRB.tsv,-0.1256309568480294
Brusko_10348_TCRB.tsv,-0.13650188615315167
Brusko_10362_TCRB.tsv,-0.13535912875507927
Brusko_10366_TCRB.tsv,-0.1315186807947013
Brusko_10371_TCRB.tsv,-0.12673168379647284
Brusko_10375_TCRB.tsv,-0.11983676789088056
Brusko_10382_TCRB.tsv,-0.11980584718192162
Brusko_10392_TCRB.tsv,-0.11026507511001057
Brusko_10395_TCRB.tsv,-0.12548250000000008
Brusko_10397_TCRB.tsv,-0.12467442065425897
